source_table,source_column,target_table,target_column
briefs,id_caso,casos,id
narrativas,caso_id,casos,id
render_prompts,caso_id,casos,id
imagenes,caso_id,casos,id
objetivos,campana_id,campañas,id
objetivos,vertical_id,verticales,id
elementos_tags,tag_id,tags,id
nodo_camp,campana_id,campañas,id
nodo_camp,caso_id,casos,id
nodo_camp,regla_id,zdu_ruleset,id
heroes_etiquetas,tag_id,tags,id
campaign_alerts,campana_id,campañas,id
cduraw_input_files,carpeta_id,carpetas,id
fuentes_urls_categorias,fuente_id,fuentes_urls,id
fuentes_urls_categorias,categoria_id,categorias_urls,id
heroes_poderes,poder_id,poderes,id
powers,hero_codename,heroes,codename
heroes_activaciones,fuente_id,fuentes_urls,id
heroes_activaciones,categoria_id,categorias_urls,id
heroes_relaciones_simbioticas,id_heroe,heroes_identidad,id_heroe
heroes_relaciones_simbioticas,relacionado_con,heroes_identidad,id_heroe
heroes_render_visual,id_heroe,heroes_identidad,id_heroe
heroes_casos_participacion,id_heroe,heroes_identidad,id_heroe
campañas_villanos_crossref,nombre_villano,villanos,nombre_villano
campañas_villanos_crossref,id_campaña,campañas,id
casos_villanos_crossref,id_caso,casos,id
casos_villanos_crossref,nombre_villano,villanos,nombre_villano
activadores_fast_response,id_caso,casos_cdu,id
campaign_alerts,campana_id,campañas,id
campañas_villanos_crossref,id_campaña,campañas,id
casos_villanos_crossref,id_caso,casos,id
cduraw_input_files,carpeta_id,carpetas,id
elementos_tags,tag_id,tags,id
campañas_villanos_crossref,nombre_villano,villanos,nombre_villano
casos_villanos_crossref,nombre_villano,villanos,nombre_villano
heroes_relaciones_simbioticas,relacionado_con,heroes_identidad,id_heroe
heroes_estados_comportamiento,id_heroe,heroes_identidad,id_heroe
casos,id_villano,villanos,id
casos,id_campaña,campañas,id
briefs,id_campaña,campañas,id
archivos,id_brief,briefs,id
archivos,id_brief,briefs,id
heroes_estado_etapas,id_campana,campañas,id
heroes_estado_etapas,id_brief,briefs,id
heroes_estado_etapas,id_caso,casos,id
heroes_estado_etapas,id_villano,villanos,id
briefs,id_villano,villanos,id
campañas_villanos_crossref,id_villano,villanos,id
carpetas,caso_id,casos,id
archivos,id_carpeta,carpetas,id
assets_blob_index,caso_id,casos_cdu,id
archivos_asociados,relacionado_con,campanias_zdu_core,id
comic_escenas,id_campania,campanias_zdu_core,id
emocion_campania,id_emocion,emociones,id
comic_dialogos,id_escena,comic_escenas,id
comic_narrador,id_escena,comic_escenas,id
comic_visual_prompt,id_escena,comic_escenas,id